name,cagr,vol,downside_vol,sharpe,sortino,omega,max_drawdown,calmar,ulcer,tail_ratio,hit_rate,turnover_avg,info_ratio_vs_bench,hit_rate_vs_bench
static_60_40,0.074,0.0935,0.0628,0.8123,1.2106,1.8368,-0.3418,0.2164,7.3797,1.1394,0.6801,0.0,0.0,0.0
equal_weight,0.0669,0.0812,0.0543,0.8409,1.259,1.8839,-0.2857,0.2344,6.149,1.1288,0.6765,0.0,-0.5378,0.3603
inverse_vol,0.0478,0.0524,0.0339,0.9195,1.4232,2.041,-0.1681,0.2845,3.791,1.0342,0.6912,0.0112,-0.5072,0.3603
risk_parity,0.0487,0.0537,0.0348,0.913,1.41,2.0251,-0.1676,0.2903,3.8415,1.0239,0.6801,0.0107,-0.5014,0.3603
mean_variance_lw,0.0658,0.082,0.051,0.8202,1.3185,1.9829,-0.2247,0.2927,4.9469,1.2345,0.6728,0.0292,-0.1495,0.3309
faber_10mo_sma,0.1724,0.098,0.0462,1.6823,3.5674,3.4577,-0.1347,1.2796,2.6082,1.9564,0.7206,0.2463,1.3155,0.7206
ts_momentum_12mo,0.0906,0.0825,0.052,1.0968,1.7399,2.3248,-0.2198,0.4122,4.2904,1.3609,0.7096,0.1176,0.3081,0.4338
vol_target_60_40,0.075,0.1014,0.0697,0.7672,1.1161,1.7544,-0.3905,0.1921,10.09,0.8665,0.6801,0.019,0.0673,0.511
myopic_12mo,0.1534,0.1057,0.0552,1.411,2.6993,2.9085,-0.1514,1.0135,3.1602,1.6395,0.7206,0.2529,1.0797,0.6507
hmm_conditional_mv,0.0698,0.0576,0.0327,1.203,2.1175,2.4565,-0.1351,0.5169,2.5123,1.2379,0.7059,0.0515,-0.1021,0.3603
black_litterman_hmm,0.062,0.0628,0.0394,0.992,1.58,2.1019,-0.1777,0.3489,4.3947,1.0632,0.6875,0.025,-0.2817,0.2794
qmdp,0.1196,0.1004,0.0556,1.1798,2.1311,2.4581,-0.1417,0.8439,3.3242,1.3969,0.6912,0.1,0.5864,0.6471
